region_acronym,M145,M146,M149
MBmot,0.0,0.0,0.0
MBsen,0.0,0.0,0.0
MBsta,0.0,0.0,0.0
MD,0.0,0.0,0.0
MDRN,0.0,0.0,0.0
MDRNd,0.0,0.0,0.0
MDRNv,0.0,0.0,0.0
MDc,0.0,0.0,0.0
MDl,0.0,0.0,0.0
MDm,0.0,0.0,0.0
ME,0.0,0.0,0.0
MEA,0.0,2.9444389791664403,0.0
MEAad,0.0,0.0,0.0
MEAav,0.0,0.0,0.0
MEApd,0.0,0.0,0.0
MEApv,0.0,0.0,0.0
MED,0.0,0.0,0.0
MEPO,0.0,0.0,0.0
MEV,0.0,0.0,0.0
MEZ,0.0,0.0,0.0
MG,0.0,0.0,0.0
MGd,0.6931471805599453,0.0,0.0
MGm,0.0,0.0,0.0
MGv,0.0,0.0,0.0
MH,0.0,0.0,0.0
MM,0.0,0.0,0.0
MMd,0.0,0.0,0.0
MMl,0.0,0.0,0.0
MMm,0.0,0.0,0.0
MMme,0.0,0.0,0.0
MMp,0.0,0.0,0.0
MO,0.0,0.0,0.0
MOB,0.0,0.0,0.0
MOp,0.0,0.0,1.791759469228055
MOs,0.0,0.0,2.3978952727983707
MPN,0.0,0.0,0.0
MPNc,0.0,0.0,0.0
MPNl,0.0,0.0,0.0
MPNm,0.0,0.0,0.0
MPO,0.0,0.0,0.0
MPT,0.0,0.0,0.0
MRN,0.0,0.0,0.6931471805599453
MRNm,0.0,0.0,0.0
MRNmg,0.0,0.0,0.0
MRNp,0.0,0.0,0.0
MS,0.0,0.0,0.0
MSC,0.0,0.0,0.0
MT,0.0,0.0,0.0
MTN,0.0,0.0,0.0
MV,0.0,0.0,0.0
MY,0.0,0.0,0.0
MY-mot,0.0,0.0,0.0
MY-sat,0.0,0.0,0.0
MY-sen,0.0,0.0,0.0
NB,0.0,0.0,0.0
NC,0.0,0.0,0.0
ND,0.0,0.0,0.0
NDB,0.0,0.0,0.0
NI,0.0,0.0,0.0
NIS,0.0,0.0,0.0
NLL,0.0,0.0,0.6931471805599453
NLLd,0.0,0.0,0.0
NLLh,0.0,0.0,0.0
NLLv,0.0,0.0,0.0
NLOT,0.0,2.302585092994046,0.0
NOD,0.0,0.0,0.0
NOT,0.0,1.9459101490553132,0.6931471805599453
NPC,0.0,0.0,0.0
NR,0.0,0.0,0.0
NTB,0.0,0.0,0.0
NTS,0.0,0.0,0.0
NTSce,0.0,0.0,0.0
NTSco,0.0,0.0,0.0
NTSge,0.0,0.0,0.0
NTSl,0.0,0.0,0.0
NTSm,0.0,0.0,0.0
OLF,0.0,0.6931471805599453,0.6931471805599453
OP,0.0,0.0,0.0
ORB,0.0,0.0,0.0
ORBl,0.0,0.0,0.0
ORBm,0.0,0.0,0.0
ORBv,0.0,0.0,0.0
ORBvl,0.0,0.0,1.0986122886681098
OT,0.0,0.0,1.3862943611198906
OV,0.0,0.0,0.0
P,0.0,0.0,1.0986122886681098
P-mot,0.0,0.0,0.0
P-sat,0.0,0.0,0.0
P-sen,0.0,0.0,0.0
P5,0.0,0.0,0.0
PA,0.0,0.0,0.0
PAA,0.0,2.302585092994046,0.0
PAG,0.0,0.0,0.0
PAL,0.0,3.7376696182833684,0.0
PALc,0.0,0.0,0.0
PALd,0.0,0.0,0.0
PALm,0.0,0.0,0.0
PALv,0.0,0.0,0.0
PAR,0.0,0.0,0.0
PARN,0.0,0.0,0.0
PAS,0.0,0.0,0.0
PB,0.0,0.0,0.0
PBG,0.0,0.0,0.0
